# AoA, cL, cDp, cM
0.000000000000000000e+00,3.218888888888893907e-01,5.569763823142588090e-03,-7.250616584199597037e-02
3.000000000000000000e+00,5.725064119439919885e-01,3.169989349977713269e-03,-1.060508890906217694e-01
6.000000000000000000e+00,7.911581927825395155e-01,7.414900949964187485e-03,-6.257184590720166195e-02
8.000000000000000000e+00,1.011268305001320922e+00,1.525351763499560240e-02,-7.142365565432792773e-02
1.000000000000000000e+01,1.076878536204018522e+00,2.742221675009889892e-02,-4.363987072168203779e-02
1.100000000000000000e+01,1.121243162101286828e+00,3.157949112524172097e-02,-1.843087045289901887e-02
1.300000000000000000e+01,1.181402940889325182e+00,5.388030769810950305e-02,-4.152734578466377169e-02
1.500000000000000000e+01,1.110205424009309993e+00,7.964055169652489719e-02,-4.824539042305718561e-02
1.600000000000000000e+01,1.038081604573789507e+00,8.704592929001486734e-02,1.784310955048516289e-03
1.700000000000000000e+01,9.893264355389181919e-01,1.161586304079680609e-01,-5.075069173541957301e-02
2.000000000000000000e+01,8.877571301155406935e-01,1.757239131054277870e-01,-6.026848014933870040e-02
